2021-10-20,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-21,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-22,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-23,"['AUD', '1000XEC-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-24,"['AUD', '1000XEC-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-25,"['AUD', '1000XEC-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-26,"['AUD', '1000XEC-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-27,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-28,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-29,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-30,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-31,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-01,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-02,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-03,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-04,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-05,"['AUD', 'FLM-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-06,"['AUD', 'FLM-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-07,"['AUD', 'FLM-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-08,"['AUD', 'FLM-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-09,"['AUD', 'FLM-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-10,"['AUD', 'FLM-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-11-11,"['AUD', 'IOTA-USDT', 'CELO-USDT', 'BEL', 'DIA', 'HOT-USDT']"
2021-11-12,"['AUD', 'IOTA-USDT', 'CELO-USDT', 'BEL', 'DIA', 'HOT-USDT']"
2021-11-13,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-14,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-15,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-16,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-17,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-18,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-19,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-20,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-21,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
2021-11-22,"['AUD', 'ALPHA', 'BEL', 'DIA', 'HOT-USDT', 'DAR']"
